Name,Country,Gender,Flights,Total.Flights,Total.Flight.Time,Birth.Year,Military,Selection.Group,Selection.Year,Lifetime.Statistics.Mission.count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Vechicles.Orbit,Vechicles.Decent,Durations.Mission.duration,Lifetime.Statistics.Mission.duration,Mission.Durations.EVA.duration,Lifetime.Statistics.EVA.duration,Status,Birth_Place,Undergraduate_Major,Graduate_Major,Military.Rank,Military.Branch,Space.Flights,Space.Flight..hr.,Space.Walks,Space.Walks..hr.,Missions,Death_Date,Death_Mission,undg_area,Gender_prop,total_duration,nat_total_flight,first_edu,second_edu,birth_city,grad_area,Birth_Month,Birth_Day,Selection_Age,Mission_Age
Abdul Ahad Mohmand,Afghanistan,Male,Soyuz TM-6 (1988),1,008:20:26,1959,TRUE,Afghanistan,1988,1,MSP,1988,3,Soyuz TM-6,Mir EP,Soyuz TM-5,212,212,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,29,29
Andreas Mogensen,Denmark,Male,Soyuz TMA-18M (2015),1,181:23:47,1976,TRUE,ESA-3/EAC,2009,1,flight engineer,2015,Soyuz TMA-18M/16M,Soyuz TMA-18M,Soyuz TMA-18M,Soyuz TMA-16M,236.23,236.23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,33,39
Christer Fuglesang,Sweden,Male,"STS-116 (2006), STS-128 (2009)",2,026:17:38,1957,TRUE,1992 ESA Group,1992,2,MSP,2006,STS-116,STS-116,STS-116,STS-116,308.73,641.63,18.23,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,35,49
Christer Fuglesang,Sweden,Male,"STS-116 (2006), STS-128 (2009)",2,026:17:38,1957,TRUE,1992 ESA Group,1992,2,MSP,2009,STS-128,STS-128,STS-128,STS-128,332.9,641.63,13.67,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,35,52
Claude Nicollier,Switzerland,Male,"STS-46 (1992), STS-61 (1993), STS-75 (1996), STS-103 (1999)",4,043:12:05,1944,TRUE,1978 ESA Group,1978,4,PSP,1992,STS-46,STS-46,STS-46,STS-46,191.25,1184.07,0,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,48
Claude Nicollier,Switzerland,Male,"STS-46 (1992), STS-61 (1993), STS-75 (1996), STS-103 (1999)",4,043:12:05,1944,TRUE,1978 ESA Group,1978,4,PSP,1993,STS-61-A,STS-61-A,STS-61-A,STS-61-A,259.97,1184.07,0,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,49
Claude Nicollier,Switzerland,Male,"STS-46 (1992), STS-61 (1993), STS-75 (1996), STS-103 (1999)",4,043:12:05,1944,TRUE,1978 ESA Group,1978,4,MSP,1996,STS-75,STS-75,STS-75,STS-75,541.67,1184.07,0,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,52
Claude Nicollier,Switzerland,Male,"STS-46 (1992), STS-61 (1993), STS-75 (1996), STS-103 (1999)",4,043:12:05,1944,TRUE,1978 ESA Group,1978,4,MSP,1999,STS-103,STS-103,STS-103,STS-103,191.18,1184.07,8.16,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,34,55
Dumitru Prunariu,Romania,Male,Soyuz 40 (1981),1,007:20:41,1952,TRUE,1978 Intercosmos Group,1978,1,MSP,1981,Soyuz 40,Soyuz 40,Soyuz 40,Soyuz 40,188.7,188.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,26,29
Franco Malerba,Italy,Male,STS-46 (1992),1,007:23:15,1946,TRUE,1989 ESA Group,1998,1,PSP,1992,sts-46,STS-46,STS-46,STS-46,191.25,191.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,52,46
Georgi Ivanov,Bulgaria,Male,Soyuz 33 (1979),1,001:23:01,1940,TRUE,1978 Intercosmos Group,1978,1,pilot,1979,Soyuz 33,Soyuz 33,Soyuz 33,Soyuz 33,47,47,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,38,39
Helen Sharman,United Kingdom,Female,Soyuz TM-12 (1991),1,007:21:13,1963,TRUE,1989 Juno,1989,1,MSP,1991,Soyuz TM-12/11,Soyuz TM-12,Soyuz TM-12,Soyuz TM-11,189.22,189.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,26,28
Ilan Ramon,Israel,Male,STS-107 (2003),1,015:22:20,1954,TRUE,1996 NASA Group,1996,1,PSP,2003,STS-107,STS-107,STS-107,Exploded,382.33,382.33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,42,49
